Area,Age group,Sex,Year,Value,Flags
"Total, New Zealand by regional council/area unit","100 years and over","Male","1996",36,
"Total, New Zealand by regional council/area unit","100 years and over","Male","2001",96,
"Total, New Zealand by regional council/area unit","100 years and over","Female","1996",225,
"Total, New Zealand by regional council/area unit","100 years and over","Female","2001",303,
"Total, New Zealand by regional council/area unit","Less than one year","Male","1996",28293,
"Total, New Zealand by regional council/area unit","Less than one year","Male","2001",27921,
"Total, New Zealand by regional council/area unit","Less than one year","Female","1996",26454,
"Total, New Zealand by regional council/area unit","Less than one year","Female","2001",26712,
"Total, New Zealand by regional council/area unit","One year","Male","1996",28065,
"Total, New Zealand by regional council/area unit","One year","Male","2001",27945,
"Total, New Zealand by regional council/area unit","One year","Female","1996",26544,
"Total, New Zealand by regional council/area unit","One year","Female","2001",26499,
"Total, New Zealand by regional council/area unit","Two years","Male","1996",28617,
"Total, New Zealand by regional council/area unit","Two years","Male","2001",27330,
"Total, New Zealand by regional council/area unit","Two years","Female","1996",26781,
"Total, New Zealand by regional council/area unit","Two years","Female","2001",25893,
"Total, New Zealand by regional council/area unit","Three years","Male","1996",28857,
"Total, New Zealand by regional council/area unit","Three years","Male","2001",27711,
"Total, New Zealand by regional council/area unit","Three years","Female","1996",27426,
"Total, New Zealand by regional council/area unit","Three years","Female","2001",26418,
"Total, New Zealand by regional council/area unit","Four years","Male","1996",30279,
"Total, New Zealand by regional council/area unit","Four years","Male","2001",27783,
"Total, New Zealand by regional council/area unit","Four years","Female","1996",28284,
"Total, New Zealand by regional council/area unit","Four years","Female","2001",26586,
"Total, New Zealand by regional council/area unit","Five years","Male","1996",31023,
"Total, New Zealand by regional council/area unit","Five years","Male","2001",29097,
"Total, New Zealand by regional council/area unit","Five years","Female","1996",29808,
"Total, New Zealand by regional council/area unit","Five years","Female","2001",27225,
"Total, New Zealand by regional council/area unit","Six years","Male","1996",30390,
"Total, New Zealand by regional council/area unit","Six years","Male","2001",28713,
"Total, New Zealand by regional council/area unit","Six years","Female","1996",29076,
"Total, New Zealand by regional council/area unit","Six years","Female","2001",27333,
"Total, New Zealand by regional council/area unit","Seven years","Male","1996",29439,
"Total, New Zealand by regional council/area unit","Seven years","Male","2001",29157,
"Total, New Zealand by regional council/area unit","Seven years","Female","1996",28182,
"Total, New Zealand by regional council/area unit","Seven years","Female","2001",27465,
"Total, New Zealand by regional council/area unit","Eight years","Male","1996",28914,
"Total, New Zealand by regional council/area unit","Eight years","Male","2001",29601,
"Total, New Zealand by regional council/area unit","Eight years","Female","1996",27036,
"Total, New Zealand by regional council/area unit","Eight years","Female","2001",27927,
"Total, New Zealand by regional council/area unit","Nine years","Male","1996",27957,
"Total, New Zealand by regional council/area unit","Nine years","Male","2001",30792,
"Total, New Zealand by regional council/area unit","Nine years","Female","1996",26472,
"Total, New Zealand by regional council/area unit","Nine years","Female","2001",28887,
"Total, New Zealand by regional council/area unit","10 years","Male","1996",27507,
"Total, New Zealand by regional council/area unit","10 years","Male","2001",31236,
"Total, New Zealand by regional council/area unit","10 years","Female","1996",26313,
"Total, New Zealand by regional council/area unit","10 years","Female","2001",30111,
"Total, New Zealand by regional council/area unit","11 years","Male","1996",27141,
"Total, New Zealand by regional council/area unit","11 years","Male","2001",30372,
"Total, New Zealand by regional council/area unit","11 years","Female","1996",25782,
"Total, New Zealand by regional council/area unit","11 years","Female","2001",28998,
"Total, New Zealand by regional council/area unit","12 years","Male","1996",27117,
"Total, New Zealand by regional council/area unit","12 years","Male","2001",29592,
"Total, New Zealand by regional council/area unit","12 years","Female","1996",25563,
"Total, New Zealand by regional council/area unit","12 years","Female","2001",28476,
"Total, New Zealand by regional council/area unit","13 years","Male","1996",26832,
"Total, New Zealand by regional council/area unit","13 years","Male","2001",29286,
"Total, New Zealand by regional council/area unit","13 years","Female","1996",25284,
"Total, New Zealand by regional council/area unit","13 years","Female","2001",27684,
"Total, New Zealand by regional council/area unit","14 years","Male","1996",27069,
"Total, New Zealand by regional council/area unit","14 years","Male","2001",28146,
"Total, New Zealand by regional council/area unit","14 years","Female","1996",25584,
"Total, New Zealand by regional council/area unit","14 years","Female","2001",26841,
"Total, New Zealand by regional council/area unit","15 years","Male","1996",27480,
"Total, New Zealand by regional council/area unit","15 years","Male","2001",27747,
"Total, New Zealand by regional council/area unit","15 years","Female","1996",25893,
"Total, New Zealand by regional council/area unit","15 years","Female","2001",26478,
"Total, New Zealand by regional council/area unit","16 years","Male","1996",27216,
"Total, New Zealand by regional council/area unit","16 years","Male","2001",27219,
"Total, New Zealand by regional council/area unit","16 years","Female","1996",26223,
"Total, New Zealand by regional council/area unit","16 years","Female","2001",26274,
"Total, New Zealand by regional council/area unit","17 years","Male","1996",26163,
"Total, New Zealand by regional council/area unit","17 years","Male","2001",26913,
"Total, New Zealand by regional council/area unit","17 years","Female","1996",25557,
"Total, New Zealand by regional council/area unit","17 years","Female","2001",26013,
"Total, New Zealand by regional council/area unit","18 years","Male","1996",26013,
"Total, New Zealand by regional council/area unit","18 years","Male","2001",26679,
"Total, New Zealand by regional council/area unit","18 years","Female","1996",25344,
"Total, New Zealand by regional council/area unit","18 years","Female","2001",25839,
"Total, New Zealand by regional council/area unit","19 years","Male","1996",26703,
"Total, New Zealand by regional council/area unit","19 years","Male","2001",26394,
"Total, New Zealand by regional council/area unit","19 years","Female","1996",26388,
"Total, New Zealand by regional council/area unit","19 years","Female","2001",25728,
"Total, New Zealand by regional council/area unit","20 years","Male","1996",26526,
"Total, New Zealand by regional council/area unit","20 years","Male","2001",25935,
"Total, New Zealand by regional council/area unit","20 years","Female","1996",26211,
"Total, New Zealand by regional council/area unit","20 years","Female","2001",25581,
"Total, New Zealand by regional council/area unit","21 years","Male","1996",26958,
"Total, New Zealand by regional council/area unit","21 years","Male","2001",24825,
"Total, New Zealand by regional council/area unit","21 years","Female","1996",27270,
"Total, New Zealand by regional council/area unit","21 years","Female","2001",25056,
"Total, New Zealand by regional council/area unit","22 years","Male","1996",27015,
"Total, New Zealand by regional council/area unit","22 years","Male","2001",23124,
"Total, New Zealand by regional council/area unit","22 years","Female","1996",27483,
"Total, New Zealand by regional council/area unit","22 years","Female","2001",23991,
"Total, New Zealand by regional council/area unit","23 years","Male","1996",27027,
"Total, New Zealand by regional council/area unit","23 years","Male","2001",22395,
"Total, New Zealand by regional council/area unit","23 years","Female","1996",27618,
"Total, New Zealand by regional council/area unit","23 years","Female","2001",23151,
"Total, New Zealand by regional council/area unit","24 years","Male","1996",27309,
"Total, New Zealand by regional council/area unit","24 years","Male","2001",22515,
"Total, New Zealand by regional council/area unit","24 years","Female","1996",28347,
"Total, New Zealand by regional council/area unit","24 years","Female","2001",23208,
"Total, New Zealand by regional council/area unit","25 years","Male","1996",26868,
"Total, New Zealand by regional council/area unit","25 years","Male","2001",21936,
"Total, New Zealand by regional council/area unit","25 years","Female","1996",28161,
"Total, New Zealand by regional council/area unit","25 years","Female","2001",23061,
"Total, New Zealand by regional council/area unit","26 years","Male","1996",26880,
"Total, New Zealand by regional council/area unit","26 years","Male","2001",22677,
"Total, New Zealand by regional council/area unit","26 years","Female","1996",28200,
"Total, New Zealand by regional council/area unit","26 years","Female","2001",24600,
"Total, New Zealand by regional council/area unit","27 years","Male","1996",26535,
"Total, New Zealand by regional council/area unit","27 years","Male","2001",23304,
"Total, New Zealand by regional council/area unit","27 years","Female","1996",28125,
"Total, New Zealand by regional council/area unit","27 years","Female","2001",25743,
"Total, New Zealand by regional council/area unit","28 years","Male","1996",25956,
"Total, New Zealand by regional council/area unit","28 years","Male","2001",24288,
"Total, New Zealand by regional council/area unit","28 years","Female","1996",28173,
"Total, New Zealand by regional council/area unit","28 years","Female","2001",26973,
"Total, New Zealand by regional council/area unit","29 years","Male","1996",26211,
"Total, New Zealand by regional council/area unit","29 years","Male","2001",25803,
"Total, New Zealand by regional council/area unit","29 years","Female","1996",28188,
"Total, New Zealand by regional council/area unit","29 years","Female","2001",28512,
"Total, New Zealand by regional council/area unit","30 years","Male","1996",26868,
"Total, New Zealand by regional council/area unit","30 years","Male","2001",25863,
"Total, New Zealand by regional council/area unit","30 years","Female","1996",28230,
"Total, New Zealand by regional council/area unit","30 years","Female","2001",29214,
"Total, New Zealand by regional council/area unit","31 years","Male","1996",27666,
"Total, New Zealand by regional council/area unit","31 years","Male","2001",26670,
"Total, New Zealand by regional council/area unit","31 years","Female","1996",29262,
"Total, New Zealand by regional council/area unit","31 years","Female","2001",29433,
"Total, New Zealand by regional council/area unit","32 years","Male","1996",29136,
"Total, New Zealand by regional council/area unit","32 years","Male","2001",26430,
"Total, New Zealand by regional council/area unit","32 years","Female","1996",30702,
"Total, New Zealand by regional council/area unit","32 years","Female","2001",29574,
"Total, New Zealand by regional council/area unit","33 years","Male","1996",29352,
"Total, New Zealand by regional council/area unit","33 years","Male","2001",26370,
"Total, New Zealand by regional council/area unit","33 years","Female","1996",31503,
"Total, New Zealand by regional council/area unit","33 years","Female","2001",29508,
"Total, New Zealand by regional council/area unit","34 years","Male","1996",29430,
"Total, New Zealand by regional council/area unit","34 years","Male","2001",26868,
"Total, New Zealand by regional council/area unit","34 years","Female","1996",31329,
"Total, New Zealand by regional council/area unit","34 years","Female","2001",29349,
"Total, New Zealand by regional council/area unit","35 years","Male","1996",29058,
"Total, New Zealand by regional council/area unit","35 years","Male","2001",27114,
"Total, New Zealand by regional council/area unit","35 years","Female","1996",30909,
"Total, New Zealand by regional council/area unit","35 years","Female","2001",29280,
"Total, New Zealand by regional council/area unit","36 years","Male","1996",28515,
"Total, New Zealand by regional council/area unit","36 years","Male","2001",27666,
"Total, New Zealand by regional council/area unit","36 years","Female","1996",29739,
"Total, New Zealand by regional council/area unit","36 years","Female","2001",30327,
"Total, New Zealand by regional council/area unit","37 years","Male","1996",27795,
"Total, New Zealand by regional council/area unit","37 years","Male","2001",28956,
"Total, New Zealand by regional council/area unit","37 years","Female","1996",29202,
"Total, New Zealand by regional council/area unit","37 years","Female","2001",31326,
"Total, New Zealand by regional council/area unit","38 years","Male","1996",27117,
"Total, New Zealand by regional council/area unit","38 years","Male","2001",29517,
"Total, New Zealand by regional council/area unit","38 years","Female","1996",28179,
"Total, New Zealand by regional council/area unit","38 years","Female","2001",32103,
"Total, New Zealand by regional council/area unit","39 years","Male","1996",26811,
"Total, New Zealand by regional council/area unit","39 years","Male","2001",29427,
"Total, New Zealand by regional council/area unit","39 years","Female","1996",27888,
"Total, New Zealand by regional council/area unit","39 years","Female","2001",31749,
"Total, New Zealand by regional council/area unit","40 years","Male","1996",26121,
"Total, New Zealand by regional council/area unit","40 years","Male","2001",28959,
"Total, New Zealand by regional council/area unit","40 years","Female","1996",27303,
"Total, New Zealand by regional council/area unit","40 years","Female","2001",31362,
"Total, New Zealand by regional council/area unit","41 years","Male","1996",25512,
"Total, New Zealand by regional council/area unit","41 years","Male","2001",28209,
"Total, New Zealand by regional council/area unit","41 years","Female","1996",26598,
"Total, New Zealand by regional council/area unit","41 years","Female","2001",30102,
"Total, New Zealand by regional council/area unit","42 years","Male","1996",24924,
"Total, New Zealand by regional council/area unit","42 years","Male","2001",27651,
"Total, New Zealand by regional council/area unit","42 years","Female","1996",25821,
"Total, New Zealand by regional council/area unit","42 years","Female","2001",29316,
"Total, New Zealand by regional council/area unit","43 years","Male","1996",24588,
"Total, New Zealand by regional council/area unit","43 years","Male","2001",26946,
"Total, New Zealand by regional council/area unit","43 years","Female","1996",25341,
"Total, New Zealand by regional council/area unit","43 years","Female","2001",28422,
"Total, New Zealand by regional council/area unit","44 years","Male","1996",24294,
"Total, New Zealand by regional council/area unit","44 years","Male","2001",26739,
"Total, New Zealand by regional council/area unit","44 years","Female","1996",24537,
"Total, New Zealand by regional council/area unit","44 years","Female","2001",27918,
"Total, New Zealand by regional council/area unit","45 years","Male","1996",24231,
"Total, New Zealand by regional council/area unit","45 years","Male","2001",25947,
"Total, New Zealand by regional council/area unit","45 years","Female","1996",24762,
"Total, New Zealand by regional council/area unit","45 years","Female","2001",27342,
"Total, New Zealand by regional council/area unit","46 years","Male","1996",24321,
"Total, New Zealand by regional council/area unit","46 years","Male","2001",25086,
"Total, New Zealand by regional council/area unit","46 years","Female","1996",24219,
"Total, New Zealand by regional council/area unit","46 years","Female","2001",26331,
"Total, New Zealand by regional council/area unit","47 years","Male","1996",24273,
"Total, New Zealand by regional council/area unit","47 years","Male","2001",24339,
"Total, New Zealand by regional council/area unit","47 years","Female","1996",24189,
"Total, New Zealand by regional council/area unit","47 years","Female","2001",25353,
"Total, New Zealand by regional council/area unit","48 years","Male","1996",24066,
