"Estimated Resident Population by Age and Sex (1991+) (Annual-Jun)","","","",""
"","","","Male","Female"
2001,"As at","0 Years",28500,27320
" "," ","1 Years",28970,27560
" "," ","2 Years",28350,26660
" "," ","3 Years",29390,27720
" "," ","4 Years",28750,27790
" "," ","5 Years",29710,27490
" "," ","6 Years",30070,28380
" "," ","7 Years",30250,28440
" "," ","8 Years",31090,29000
" "," ","9 Years",31560,29490
" "," ","10 Years",32230,30750
" "," ","11 Years",31620,30430
" "," ","12 Years",30490,29330
" "," ","13 Years",30150,28860
" "," ","14 Years",29280,27620
" "," ","15 Years",28730,27510
" "," ","16 Years",28380,27250
" "," ","17 Years",28160,27210
" "," ","18 Years",28240,27060
" "," ","19 Years",27970,27110
" "," ","20 Years",27760,27180
" "," ","21 Years",26640,26310
" "," ","22 Years",25380,25680
" "," ","23 Years",24220,24240
" "," ","24 Years",24020,24200
" "," ","25 Years",23520,23810
" "," ","26 Years",23840,25230
" "," ","27 Years",24630,26520
" "," ","28 Years",25500,27650
" "," ","29 Years",27110,29420
" "," ","30 Years",27730,30600
" "," ","31 Years",27880,30040
" "," ","32 Years",27990,30450
" "," ","33 Years",27850,30450
" "," ","34 Years",28130,30520
" "," ","35 Years",28240,30100
" "," ","36 Years",28830,30680
" "," ","37 Years",30050,31820
" "," ","38 Years",30580,32630
" "," ","39 Years",30880,32860
" "," ","40 Years",30360,32380
" "," ","41 Years",29620,31070
" "," ","42 Years",29320,30610
" "," ","43 Years",27970,29170
" "," ","44 Years",27750,28630
" "," ","45 Years",27210,28120
" "," ","46 Years",26200,27250
" "," ","47 Years",25710,26530
" "," ","48 Years",24920,25580
" "," ","49 Years",24890,25270
" "," ","50 Years",24590,24710
" "," ","51 Years",24500,24890
" "," ","52 Years",24250,24290
" "," ","53 Years",24240,24550
" "," ","54 Years",24420,24650
" "," ","55 Years",20530,20780
" "," ","56 Years",19490,19800
" "," ","57 Years",18850,18820
" "," ","58 Years",16690,16980
" "," ","59 Years",18400,18910
" "," ","60 Years",18250,18620
" "," ","61 Years",16990,17180
" "," ","62 Years",15130,16000
" "," ","63 Years",14770,15190
" "," ","64 Years",14090,14740
" "," ","65 Years",13310,14220
" "," ","66 Years",13140,13400
" "," ","67 Years",12590,13220
" "," ","68 Years",12430,13290
" "," ","69 Years",12340,13000
" "," ","70 Years",12550,13420
" "," ","71 Years",11900,13080
" "," ","72 Years",11360,12540
" "," ","73 Years",11190,12390
" "," ","74 Years",10450,11890
" "," ","75 Years",9770,11650
" "," ","76 Years",9270,11670
" "," ","77 Years",8250,10830
" "," ","78 Years",7520,10330
" "," ","79 Years",7040,10220
" "," ","80 Years",6280,9530
" "," ","81 Years",5510,9050
" "," ","82 Years",4390,7130
" "," ","83 Years",3700,6800
" "," ","84 Years",3540,6600
" "," ","85 Years",3020,5900
" "," ","86 Years",2650,5430
" "," ","87 Years",2270,4700
" "," ","88 Years",1750,3960
" "," ","89 Years",1390,3480
" "," ","90 Years",1080,2610
" "," ","91 Years",780,2270
" "," ","92 Years",560,1760
" "," ","93 Years",430,1280
" "," ","94 Years",290,1000
" "," ","95 Years and Over",650,2530
2002,"As at","0 Years",27860,26990
" "," ","1 Years",28660,27520
" "," ","2 Years",29210,27850
" "," ","3 Years",28620,26960
" "," ","4 Years",29530,27950
" "," ","5 Years",29020,28050
" "," ","6 Years",30030,27900
" "," ","7 Years",30410,28760
" "," ","8 Years",30570,28820
" "," ","9 Years",31440,29400
" "," ","10 Years",31930,29850
" "," ","11 Years",32610,31080
" "," ","12 Years",31900,30780
" "," ","13 Years",30770,29620
" "," ","14 Years",30360,29140
" "," ","15 Years",29600,28040
" "," ","16 Years",29090,28130
" "," ","17 Years",28960,28010
" "," ","18 Years",29170,28150
" "," ","19 Years",29470,28130
" "," ","20 Years",28790,27900
" "," ","21 Years",27970,27460
" "," ","22 Years",26660,26440
" "," ","23 Years",25460,25780
" "," ","24 Years",24190,24400
" "," ","25 Years",24050,24490
" "," ","26 Years",23690,24250
" "," ","27 Years",24130,25740
" "," ","28 Years",25040,27140
" "," ","29 Years",26130,28450
" "," ","30 Years",27850,30320
" "," ","31 Years",28380,31290
" "," ","32 Years",28230,30550
" "," ","33 Years",28350,30940
" "," ","34 Years",28250,30920
" "," ","35 Years",28500,30960
" "," ","36 Years",28670,30560
" "," ","37 Years",29180,31110
" "," ","38 Years",30410,32270
" "," ","39 Years",30900,33090
" "," ","40 Years",31220,33210
" "," ","41 Years",30640,32690
" "," ","42 Years",29930,31330
" "," ","43 Years",29550,30820
" "," ","44 Years",28160,29410
" "," ","45 Years",27990,28840
" "," ","46 Years",27430,28290
" "," ","47 Years",26370,27370
" "," ","48 Years",25830,26610
" "," ","49 Years",24990,25610
" "," ","50 Years",24920,25260
" "," ","51 Years",24560,24730
" "," ","52 Years",24490,24920
" "," ","53 Years",24190,24250
" "," ","54 Years",24200,24560
" "," ","55 Years",24360,24660
" "," ","56 Years",20490,20810
" "," ","57 Years",19450,19780
" "," ","58 Years",18780,18790
" "," ","59 Years",16620,16970
" "," ","60 Years",18340,18870
" "," ","61 Years",18170,18570
" "," ","62 Years",16880,17140
" "," ","63 Years",15020,15950
" "," ","64 Years",14630,15130
" "," ","65 Years",13930,14690
" "," ","66 Years",13130,14100
" "," ","67 Years",12940,13260
" "," ","68 Years",12370,13080
" "," ","69 Years",12160,13120
" "," ","70 Years",12070,12830
" "," ","71 Years",12200,13190
" "," ","72 Years",11550,12840
" "," ","73 Years",11000,12250
" "," ","74 Years",10770,12120
" "," ","75 Years",10000,11600
" "," ","76 Years",9360,11330
" "," ","77 Years",8850,11290
" "," ","78 Years",7790,10450
" "," ","79 Years",7080,9900
" "," ","80 Years",6560,9770
" "," ","81 Years",5830,9070
" "," ","82 Years",5040,8520
" "," ","83 Years",3980,6670
" "," ","84 Years",3280,6310
" "," ","85 Years",3150,6030
" "," ","86 Years",2620,5360
" "," ","87 Years",2250,4850
" "," ","88 Years",1910,4120
" "," ","89 Years",1450,3480
" "," ","90 Years",1110,2980
" "," ","91 Years",840,2190
" "," ","92 Years",590,1890
" "," ","93 Years",430,1410
" "," ","94 Years",320,1000
" "," ","95 Years and Over",670,2570
2003,"As at","0 Years",28690,27230
" "," ","1 Years",27970,27050
" "," ","2 Years",29010,27820
" "," ","3 Years",29590,28240
" "," ","4 Years",28950,27300
" "," ","5 Years",29800,28240
" "," ","6 Years",29390,28370
" "," ","7 Years",30450,28350
" "," ","8 Years",30850,29170
" "," ","9 Years",31010,29240
" "," ","10 Years",31870,29870
" "," ","11 Years",32350,30320
" "," ","12 Years",32990,31450
" "," ","13 Years",32180,31140
" "," ","14 Years",31140,29970
" "," ","15 Years",30730,29580
" "," ","16 Years",30010,28560
" "," ","17 Years",29650,28880
" "," ","18 Years",29730,28900
" "," ","19 Years",30110,29130
" "," ","20 Years",30370,29090
" "," ","21 Years",29350,28420
" "," ","22 Years",28170,27690
" "," ","23 Years",26860,26700
" "," ","24 Years",25620,26100
" "," ","25 Years",24380,24760
" "," ","26 Years",24310,25060
" "," ","27 Years",24050,24960
" "," ","28 Years",24690,26590
" "," ","29 Years",25840,28120
" "," ","30 Years",27020,29550
" "," ","31 Years",28700,31300
" "," ","32 Years",29030,32030
" "," ","33 Years",28770,31220
" "," ","34 Years",28930,31680
" "," ","35 Years",28810,31550
" "," ","36 Years",28930,31490
" "," ","37 Years",29150,31100
" "," ","38 Years",29700,31630
" "," ","39 Years",30890,32780
" "," ","40 Years",31340,33610
" "," ","41 Years",31580,33620
" "," ","42 Years",31010,33050
" "," ","43 Years",30250,31620
" "," ","44 Years",29860,31060
" "," ","45 Years",28440,29680
" "," ","46 Years",28260,29060
" "," ","47 Years",27610,28450
" "," ","48 Years",26530,27490
" "," ","49 Years",25920,26710
" "," ","50 Years",25100,25660
" "," ","51 Years",24980,25280
" "," ","52 Years",24520,24810
" "," ","53 Years",24460,24940
" "," ","54 Years",24150,24250
" "," ","55 Years",24170,24530
" "," ","56 Years",24320,24660
" "," ","57 Years",20450,20830
" "," ","58 Years",19400,19790
" "," ","59 Years",18690,18780
" "," ","60 Years",16560,16940
" "," ","61 Years",18290,18850
" "," ","62 Years",18080,18550
" "," ","63 Years",16750,17080
" "," ","64 Years",14940,15870
" "," ","65 Years",14480,15050
" "," ","66 Years",13770,14620
" "," ","67 Years",12980,13950
" "," ","68 Years",12720,13110
" "," ","69 Years",12140,12900
" "," ","70 Years",11870,12950
" "," ","71 Years",11740,12630
" "," ","72 Years",11880,12960
" "," ","73 Years",11190,12610
" "," ","74 Years",10640,11960
" "," ","75 Years",10370,11850
" "," ","76 Years",9570,11280
" "," ","77 Years",8940,11010
" "," ","78 Years",8370,10890
" "," ","79 Years",7340,10050
" "," ","80 Years",6620,9480
" "," ","81 Years",6050,9280
" "," ","82 Years",5340,8580
" "," ","83 Years",4600,8010
" "," ","84 Years",3580,6240
" "," ","85 Years",2900,5770
" "," ","86 Years",2780,5460
" "," ","87 Years",2270,4820
" "," ","88 Years",1920,4310
" "," ","89 Years",1560,3590
" "," ","90 Years",1210,3030
" "," ","91 Years",870,2510
" "," ","92 Years",680,1800
" "," ","93 Years",440,1490
" "," ","94 Years",310,1080
" "," ","95 Years and Over",710,2590
2004,"As at","0 Years",29620,28310
" "," ","1 Years",28560,27110
" "," ","2 Years",28150,27230
" "," ","3 Years",29270,28030
" "," ","4 Years",29860,28530
" "," ","5 Years",29190,27600
" "," ","6 Years",29930,28430
" "," ","7 Years",29600,28550
" "," ","8 Years",30710,28690
" "," ","9 Years",31200,29490
" "," ","10 Years",31320,29530
" "," ","11 Years",32120,30240
" "," ","12 Years",32580,30560
" "," ","13 Years",33220,31690
" "," ","14 Years",32380,31400
" "," ","15 Years",31410,30290
" "," ","16 Years",31020,29970
" "," ","17 Years",30270,29010
" "," ","18 Years",29910,29290
" "," ","19 Years",29980,29300
" "," ","20 Years",30280,29460
" "," ","21 Years",30220,29290
" "," ","22 Years",29040,28360
" "," ","23 Years",27810,27450
" "," ","24 Years",26550,26630
" "," ","25 Years",25370,26260
" "," ","26 Years",24280,25130
" "," ","27 Years",24440,25620
" "," ","28 Years",24400,25690
" "," ","29 Years",25210,27430
" "," ","30 Years",26420,28980
" "," ","31 Years",27660,30360
" "," ","32 Years",29150,31910
" "," ","33 Years",29450,32550
" "," ","34 Years",29130,31760
" "," ","35 Years",29360,32190
" "," ","36 Years",29190,31960
" "," ","37 Years",29210,31820
" "," ","38 Years",29480,31480
" "," ","39 Years",30020,31950
" "," ","40 Years",31250,33150
" "," ","41 Years",31630,33990
" "," ","42 Years",31880,33890
" "," ","43 Years",31240,33320
" "," ","44 Years",30400,31770
" "," ","45 Years",29990,31240
" "," ","46 Years",28560,29830
" "," ","47 Years",28390,29210
" "," ","48 Years",27720,28580
" "," ","49 Years",26610,27580
" "," ","50 Years",25940,26770
" "," ","51 Years",25120,25690
" "," ","52 Years",24920,25280
" "," ","53 Years",24410,24810
" "," ","54 Years",24380,24940
" "," ","55 Years",24060,24190
" "," ","56 Years",24100,24510
" "," ","57 Years",24230,24690
" "," ","58 Years",20390,20840
" "," ","59 Years",19340,19720
" "," ","60 Years",18620,18770
" "," ","61 Years",16470,16920
" "," ","62 Years",18170,18820
" "," ","63 Years",17930,18520
" "," ","64 Years",16610,17020
" "," ","65 Years",14820,15770
" "," ","66 Years",14320,14950
" "," ","67 Years",13560,14490
" "," ","68 Years",12760,13790
" "," ","69 Years",12430,12950
" "," ","70 Years",11910,12740
" "," ","71 Years",11540,12730
" "," ","72 Years",11430,12410
" "," ","73 Years",11550,12680
" "," ","74 Years",10850,12380
" "," ","75 Years",10250,11700
" "," ","76 Years",9940,11510
" "," ","77 Years",9120,10960
" "," ","78 Years",8460,10660
" "," ","79 Years",7880,10530
" "," ","80 Years",6840,9680
" "," ","81 Years",6150,9040
" "," ","82 Years",5560,8770
" "," ","83 Years",4810,8050
" "," ","84 Years",4110,7460
" "," ","85 Years",3130,5740
" "," ","86 Years",2550,5260
" "," ","87 Years",2400,4900
" "," ","88 Years",1960,4290
" "," ","89 Years",1600,3760
" "," ","90 Years",1280,3030
" "," ","91 Years",960,2570
" "," ","92 Years",670,2090
" "," ","93 Years",520,1430
" "," ","94 Years",330,1150
" "," ","95 Years and Over",730,2740
2005,"As at","0 Years",29570,28190
" "," ","1 Years",29370,28070
" "," ","2 Years",28680,27190
" "," ","3 Years",28260,27320
" "," ","4 Years",29480,28180
" "," ","5 Years",30050,28700
" "," ","6 Years",29320,27740
" "," ","7 Years",29950,28520
" "," ","8 Years",29700,28600
" "," ","9 Years",30870,28940
" "," ","10 Years",31350,29710
" "," ","11 Years",31450,29730
" "," ","12 Years",32240,30480
" "," ","13 Years",32650,30720
" "," ","14 Years",33360,31820
" "," ","15 Years",32470,31620
" "," ","16 Years",31600,30590
" "," ","17 Years",31130,30200
" "," ","18 Years",30220,29000
" "," ","19 Years",29840,29430
" "," ","20 Years",29820,29560
" "," ","21 Years",29900,29410
" "," ","22 Years",29660,29050
" "," ","23 Years",28460,28060
" "," ","24 Years",27260,27230
" "," ","25 Years",26060,26590
" "," ","26 Years",25040,26410
" "," ","27 Years",24220,25530
" "," ","28 Years",24640,26210
" "," ","29 Years",24780,26400
" "," ","30 Years",25700,28100
" "," ","31 Years",26840,29590
" "," ","32 Years",28010,30810
