"Estimated migrants by age group and sex, 12/16-month rule (Annual-Jun)","","","","","","","","","","","","","","","","","",""
"","","",2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Arrivals","0-4 years","Female",3366,3651,3255,3210,3297,3690,3771,3831,3153,2973,3120,3345,3753,4089,4467,4650
" "," ","Male",3570,3864,3483,3513,3489,3879,4059,4086,3195,3138,3225,3588,3909,4197,4734,4896
" ","5-9 years","Female",3585,3912,3243,3039,3165,3498,3435,3186,2478,2373,2172,2391,2769,3024,3438,4017
" "," ","Male",3990,4260,3465,3198,3291,3588,3519,3360,2661,2460,2295,2415,2874,3270,3729,4074
" ","10-14 years","Female",4029,4131,3291,3021,3204,3420,3315,3258,2625,2373,2244,2223,2457,2682,2961,3219
" "," ","Male",4368,4470,3609,3228,3420,3717,3675,3393,2838,2493,2397,2340,2658,2856,3240,3522
" ","15-19 years","Female",7959,7065,4563,3744,3837,4095,4464,4704,4404,4392,4047,4077,4605,5031,5502,5178
" "," ","Male",9345,8076,4926,4038,4086,4668,5517,5685,5457,5604,5352,5262,6327,6870,6885,5928
" ","20-24 years","Female",8226,8028,6225,5724,6057,6513,7086,7512,7101,7392,6939,7191,8268,9549,10662,9804
" "," ","Male",8709,8565,5820,5268,5601,6324,7920,8766,8172,8766,8169,8094,9999,12843,12057,9696
" ","25-29 years","Female",9042,9333,8412,7917,8082,8676,9003,9162,8382,8412,8688,8946,10455,12378,14031,13779
" "," ","Male",9093,9021,7500,7320,7509,8187,8487,8736,7863,7884,8157,8532,9957,12399,13155,12444
" ","30-34 years","Female",6627,7506,6696,6123,6249,6510,6426,6153,5205,5154,5349,5538,6261,7080,8202,8511
" "," ","Male",6729,7374,6450,6198,6117,6597,6777,6141,4827,5169,5349,5817,6708,7698,8589,8949
" ","35-39 years","Female",5091,5415,4533,4287,4485,5133,5052,4686,3753,3456,3396,3372,3777,4185,4869,5160
" "," ","Male",4968,5241,4650,4503,4716,5295,5175,4539,3486,3372,3447,3750,4038,4722,5280,5787
" ","40-44 years","Female",3402,3675,3315,3129,3339,3537,3438,3252,2691,2517,2493,2550,2874,3072,3321,3561
" "," ","Male",3609,4002,3522,3429,3603,3954,3912,3414,2634,2559,2694,2802,3276,3450,3774,4116
" ","45-49 years","Female",2058,2268,2148,2013,2154,2310,2328,2202,1968,1755,1695,1677,1758,1941,2163,2292
" "," ","Male",2430,2523,2316,2238,2310,2541,2565,2298,1872,1878,1869,1917,2172,2313,2592,2805
" ","50-54 years","Female",1539,1503,1455,1413,1599,1752,1785,1647,1641,1518,1566,1524,1650,1716,1830,1836
" "," ","Male",1656,1650,1527,1509,1569,1632,1725,1659,1503,1371,1389,1473,1668,1788,1896,1947
" ","55-59 years","Female",1170,1179,1134,1248,1368,1476,1524,1434,1398,1497,1653,1596,1845,1869,1989,1869
" "," ","Male",1131,1146,1092,1167,1200,1332,1209,1230,1209,1284,1323,1287,1527,1587,1632,1566
" ","60-64 years","Female",957,915,822,882,1017,1032,1080,1134,1101,1128,1266,1338,1452,1548,1641,1674
" "," ","Male",864,897,735,801,903,984,1026,1056,1089,1113,1251,1200,1374,1527,1596,1593
" ","65-69 years","Female",588,600,570,615,645,723,681,690,693,660,663,729,846,927,975,1077
" "," ","Male",633,603,525,573,657,660,675,645,642,723,732,798,897,939,1074,1032
" ","70-74 years","Female",396,363,321,327,354,420,405,381,387,363,378,378,444,480,483,468
" "," ","Male",372,342,285,321,351,399,369,360,381,339,360,375,450,447,471,480
" ","75-79 years","Female",261,249,195,222,222,234,258,237,204,207,246,231,270,282,273,282
" "," ","Male",216,177,204,180,153,207,231,195,213,183,192,210,243,252,255,246
" ","80 years and over","Female",201,234,216,204,192,204,249,207,204,177,180,195,210,228,246,255
" "," ","Male",132,126,135,138,123,156,150,132,132,132,147,168,165,171,171,195
"Departures","0-4 years","Female",2349,2271,2679,2961,2820,3258,3435,3396,2970,3693,4122,3822,2931,2631,2589,2607
" "," ","Male",2493,2439,2784,3048,3129,3261,3708,3552,3066,3894,4230,3927,3021,2796,2676,2679
" ","5-9 years","Female",1671,1659,1935,2295,2244,2523,2679,2538,2136,2526,2805,2676,2088,1899,1896,1914
" "," ","Male",1773,1659,2031,2400,2343,2586,2700,2685,2133,2808,3024,2949,2127,1983,1896,1935
" ","10-14 years","Female",1566,1668,2106,2469,2262,2307,2610,2490,2001,2361,2523,2367,1773,1512,1407,1398
" "," ","Male",1647,1773,2187,2655,2544,2502,2895,2763,2061,2583,2613,2517,1929,1659,1512,1506
" ","15-19 years","Female",2295,2304,2748,3051,3033,3108,3252,3342,2853,3507,3813,3597,2889,2631,2685,2592
" "," ","Male",2553,2718,3228,3450,3408,3543,3765,3849,3366,3795,4323,3867,3186,2853,2811,2784
" ","20-24 years","Female",5907,6135,7185,7398,7350,7632,7770,7488,6756,8163,8907,8331,6963,6678,6342,6366
" "," ","Male",5925,6360,7767,8196,7710,8034,8349,8232,7557,9399,10095,8895,7305,6750,6834,6972
" ","25-29 years","Female",5283,5163,5604,6108,6117,6675,7299,7215,6846,7794,7911,7242,6345,6624,6726,7125
" "," ","Male",5745,5760,6408,6846,6999,7533,8262,8208,7881,9240,9321,8022,7158,7236,7503,8178
" ","30-34 years","Female",3321,3123,3534,3735,3783,4086,4365,4062,3807,4560,4656,4404,3744,3630,3534,3951
" "," ","Male",3507,3504,3879,4056,4302,4536,4872,4512,4344,5043,5190,4674,3972,3981,4149,4221
" ","35-39 years","Female",2388,2253,2592,2958,3039,3333,3597,3546,2913,3279,3363,2943,2400,2271,2199,2319
" "," ","Male",2673,2535,2745,3000,3210,3540,3825,3648,3195,3594,3663,3012,2412,2319,2301,2427
" ","40-44 years","Female",1836,1860,2040,2346,2427,2556,2907,2667,2313,2730,2829,2469,1950,1767,1710,1734
" "," ","Male",1947,2052,2364,2445,2679,2796,3135,2952,2547,2997,3069,2571,2019,1887,1794,1893
