"Estimated migration by direction, age group and sex, 12/16-month rule (Annual-Mar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Estimate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" "," "," ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and over","85 Years and Over","90 Years and over"
"Arrivals","Female",2002,605,731,701,677,786,723,734,667,701,779,809,812,767,754,835,972,1055,1543,2265,1983,1553,1503,1609,1716,1726,1856,1905,1949,1818,1816,1681,1443,1297,1173,1165,1116,1075,1065,1058,955,865,842,758,609,623,530,496,425,408,362,346,352,331,344,291,309,287,217,246,240,240,218,207,206,229,160,163,136,103,118,102,104,78,89,71,84,60,52,54,43,48,31,26,23,22,13,13,6,7,10,3500,3604,3977,7818,8107,9344,6759,5269,3697,2221,1664,1299,1100,680,444,293,150,49,11081,12053,14651,18899,37297,43215,46178,9981,47278,48926,47954,45356,41108,2748,1648,524,231,81,32
" "," ",2003,683,754,773,784,850,803,779,799,860,885,964,850,806,852,922,998,1055,1484,2101,1992,1741,1538,1715,1844,1896,1985,1936,2044,1999,2072,1911,1730,1482,1459,1460,1290,1136,1153,1151,1122,979,886,779,683,630,612,539,471,435,409,375,356,331,338,336,337,284,231,256,220,218,217,201,220,215,157,159,132,96,112,111,86,95,64,71,63,68,53,50,49,36,37,41,35,29,19,9,16,9,6,3844,4126,4394,7630,8734,10036,8042,5852,3957,2466,1736,1328,1071,656,427,283,178,59,12364,13362,15901,19994,40294,46717,49781,10558,50852,52522,51524,48985,44892,2741,1670,587,304,126,67
" "," ",2004,708,701,696,712,767,714,664,707,729,752,742,741,735,710,693,863,826,1011,1286,1170,1184,1212,1308,1514,1762,1763,1920,1877,1863,1852,1794,1593,1463,1355,1224,1147,1045,1049,949,967,908,790,746,639,592,553,499,442,468,376,385,343,358,276,295,284,296,284,208,197,195,198,194,169,182,144,131,122,109,125,75,63,82,66,65,54,43,50,44,47,34,34,27,36,24,15,15,11,13,5,3584,3566,3621,5156,6980,9275,7429,5157,3675,2338,1657,1269,938,631,351,238,155,59,10771,11634,13471,15927,33997,40010,42936,9877,43874,45348,44485,42648,40192,2412,1474,492,254,99,40
" "," ",2005,690,725,653,658,642,634,642,597,628,654,665,644,570,619,625,722,697,712,913,984,973,1037,1170,1320,1546,1681,1718,1731,1664,1629,1583,1399,1310,1177,1176,1074,1019,932,817,782,770,727,707,603,539,562,448,388,418,408,389,364,316,286,289,308,314,270,263,262,222,198,185,174,180,176,150,146,89,116,95,90,68,68,68,45,52,41,50,41,31,28,36,27,26,21,11,15,7,6,3368,3155,3123,4028,6046,8423,6645,4624,3346,2224,1644,1417,959,677,389,229,148,60,9646,10368,11777,13674,29766,35336,38397,9590,39356,40899,40177,38768,36871,2502,1543,477,248,100,40
" "," ",2006,731,711,735,618,686,682,658,679,651,680,693,674,639,653,646,741,695,664,946,883,969,1082,1220,1439,1580,1790,1782,1735,1661,1614,1578,1411,1304,1251,1218,1105,1000,958,838,840,800,772,717,672,558,531,494,459,461,396,388,354,371,324,330,317,328,285,283,234,271,201,213,207,196,186,160,122,137,100,74,78,70,77,51,66,42,57,52,35,32,25,29,21,17,12,17,11,6,8,3481,3350,3305,3929,6290,8582,6762,4741,3519,2341,1767,1447,1088,705,350,252,124,54,10136,10877,12236,14065,30304,36164,39378,10162,40466,41984,41243,39884,38055,2606,1518,463,211,87,33
" "," ",2007,800,738,755,770,761,739,688,693,679,743,733,717,675,664,676,727,749,699,1043,988,1099,1082,1341,1556,1700,1802,1925,1857,1718,1678,1583,1405,1353,1262,1237,1258,1193,1039,963,902,872,820,734,703,678,585,547,461,431,394,377,422,377,314,354,362,340,321,311,307,280,256,231,199,189,183,176,127,131,141,91,102,84,98,88,50,54,53,41,40,39,27,26,24,19,17,13,10,5,7,3824,3542,3465,4206,6778,8980,6840,5355,3807,2418,1844,1641,1155,758,463,238,135,52,10831,11558,13006,15037,32159,38384,41869,10865,43024,44692,43965,42517,40486,2823,1668,447,209,74,22
" "," ",2008,872,796,722,738,743,676,659,707,713,685,673,707,646,652,670,775,741,806,1029,1077,1124,1182,1410,1611,1767,1996,1922,1916,1838,1649,1553,1410,1320,1193,1179,1166,1181,998,982,944,833,736,707,622,621,562,517,463,455,402,392,395,362,372,361,344,343,349,298,309,301,248,255,187,190,169,149,147,145,125,109,102,80,90,77,72,64,51,75,37,46,27,28,19,24,18,22,18,18,7,3871,3440,3348,4428,7094,9321,6655,5271,3519,2399,1882,1643,1181,735,458,299,144,83,10659,11434,12981,15087,32769,38687,42212,10624,43393,45142,44367,42820,40714,2930,1749,556,257,113,30
" "," ",2009,845,869,799,769,775,678,703,655,705,653,716,638,690,667,699,795,831,883,1179,1221,1383,1397,1470,1835,2015,2062,2169,1942,1900,1847,1682,1442,1246,1254,1193,1123,1084,1036,991,875,859,752,729,635,636,568,513,460,461,405,401,345,384,360,374,382,352,288,293,286,278,287,242,223,203,180,156,148,134,134,112,97,81,74,66,60,49,55,55,39,37,34,21,31,20,18,17,13,11,10,4057,3394,3410,4909,8100,9920,6817,5109,3611,2407,1864,1601,1233,752,430,258,143,69,10861,11656,13370,15770,34855,40873,44338,10716,45571,47254,46459,44745,42345,2916,1683,501,243,100,31
