"Live births (by sex), stillbirths (Maori and total population) (Annual-Mar)",,
,"Live births, male","Live births, female"
 ,Total,Total
2002,27726,26991
2003,28113,26544
2004,29043,27825
2005,29595,28023
2006,29847,28593
2007,31041,29427
2008,32358,30891
2009,33246,30912
2010,32775,31176
2011,32517,30663
2012,31134,29727
2013,31026,29754
2014,30024,28491
2015,29784,27690
2016,31134,29337
2017,30318,28881
2018,30732,29310
Table information:,,
Units:,,
"Number, Magnitude = Units",,
,,
Footnotes:,,
"From September 1995, birth and death registrations collected ethnicity based on self-identification, rather than degree-of-blood.",,
"Until 30 August 1995, a stillbirth was defined as a child born dead after 28 weeks of pregnancy. From 1 September 1995, a child is stillborn when it is dead at birth and either weighs 400g or more at birth, or is born after the 20th week of pregnancy.",,
Births and deaths data are based on date of registration (not date of occurrence). Data before 1991 includes New Zealand residents and overseas visitors. Data from 1991 includes New Zealand residents only.,,
"Apart from some historical data, births exclude late registrations under section 16 of the Births, Deaths, Marriages, and Relationships Registration Act 1995.",,
"Data has been randomly rounded to protect confidentiality. Individual figures may not add up to totals, and values for the same data may vary in different tables.",,
 ,,
Symbols:,,
.. figure not available,,
C: Confidential,,
E: Early Estimate,,
P: Provisional,,
R: Revised,,
S: Suppressed,,
,,
Status flags are not displayed,,
,,
Table reference: ,,
VSB035AA,,
,,
Last updated:,,
18 May 2020 10:45am,,
,,
Source: Statistics New Zealand,,
Contact: Information Centre,,
Telephone: 0508 525 525,,
Email:info@stats.govt.nz,,
