"Deaths by age and sex (Annual-Mar)","","","","","","","","","","","","","","","","","","","",""
"","",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Male","Less than 1 year",189,189,171,153,162,177,162,177,189,177,180,192,150,147,144,171,132,108,126
" ","1 year",15,21,21,15,15,15,9,15,18,30,15,9,21,12,12,12,12,15,12
" ","2 years",6,15,6,3,15,6,9,9,12,6,9,12,15,6,6,3,9,6,6
" ","3 years",12,12,6,9,12,3,3,6,6,6,9,6,3,6,3,6,6,3,6
" ","4 years",9,3,6,9,6,6,6,9,3,6,3,6,3,3,3,6,6,3,3
" ","5 years",3,9,6,6,3,3,6,6,9,3,3,3,3,3,3,6,6,9,6
" ","6 years",3,3,6,9,3,3,0,3,3,3,3,0,0,3,6,3,3,3,3
" ","7 years",6,3,6,12,3,6,3,6,0,6,0,3,0,6,6,6,0,3,0
" ","8 years",6,3,3,3,3,0,0,3,3,0,3,3,0,0,0,3,6,3,6
" ","9 years",3,0,0,0,9,6,6,6,6,6,0,0,3,3,6,3,6,0,3
" ","10 years",3,9,3,3,0,3,3,3,3,6,3,6,3,6,3,0,3,0,6
" ","11 years",3,9,6,6,9,0,3,6,3,0,6,3,3,3,6,0,6,3,3
" ","12 years",6,6,12,6,6,6,9,6,3,3,3,6,3,6,0,3,3,0,3
" ","13 years",9,6,12,6,6,6,12,9,6,6,3,6,6,6,0,3,3,3,6
" ","14 years",15,15,9,6,12,18,6,9,3,15,12,9,3,9,0,6,6,12,6
" ","15 years",12,12,12,12,18,18,12,21,15,9,18,12,15,18,15,12,15,6,6
" ","16 years",21,24,24,15,27,24,30,18,15,27,18,21,21,18,15,15,6,9,12
" ","17 years",21,30,30,24,36,27,27,27,27,36,30,27,24,24,18,15,27,18,15
" ","18 years",39,27,36,36,36,30,39,30,42,21,36,33,24,27,21,21,18,18,30
" ","19 years",33,21,36,24,30,27,30,39,30,24,33,24,36,33,24,33,27,18,30
" ","20 years",33,27,33,27,36,30,24,36,39,30,30,33,36,30,27,21,24,21,30
" ","21 years",24,21,36,27,24,33,36,27,33,27,42,36,33,24,27,21,24,36,24
" ","22 years",36,30,39,36,21,27,30,24,39,36,24,33,24,21,27,33,24,18,27
" ","23 years",30,27,21,18,30,30,30,24,27,24,30,36,33,24,21,24,21,24,24
" ","24 years",27,36,24,21,27,30,30,15,21,18,27,12,27,21,21,30,33,21,39
" ","25 years",42,36,18,39,21,30,30,27,24,27,18,24,21,30,24,24,30,36,30
" ","26 years",30,27,27,27,24,15,27,30,30,18,21,27,21,24,15,30,18,30,30
" ","27 years",30,30,30,18,30,21,27,21,27,18,18,21,24,24,21,27,21,21,45
" ","28 years",33,30,24,24,30,24,27,21,18,24,24,18,15,21,24,18,24,21,27
" ","29 years",33,36,33,33,33,27,21,24,24,18,27,18,18,24,9,15,27,24,33
" ","30 years",27,45,27,27,33,24,27,21,30,15,21,27,21,15,24,21,21,15,27
" ","31 years",30,30,36,30,21,18,21,21,18,27,21,21,30,18,21,18,24,33,30
" ","32 years",36,42,36,27,42,30,36,33,33,27,42,21,21,15,15,33,18,30,33
" ","33 years",36,36,39,42,27,24,39,24,33,30,21,18,18,24,24,24,27,24,24
" ","34 years",39,39,39,36,42,24,24,33,33,30,30,21,27,21,12,21,21,24,30
" ","35 years",33,36,39,27,42,33,33,33,39,27,27,21,24,24,27,24,27,33,24
" ","36 years",42,21,33,48,39,48,30,27,42,36,27,33,21,30,39,27,24,36,30
" ","37 years",54,39,39,39,42,48,45,39,36,42,30,39,30,18,21,33,21,21,33
" ","38 years",42,45,42,42,39,48,30,42,42,30,36,42,33,39,24,27,27,21,36
" ","39 years",42,45,39,39,51,45,39,36,45,42,54,39,36,36,27,33,30,21,33
" ","40 years",45,51,60,54,60,45,48,45,45,30,33,39,45,42,36,45,30,36,45
" ","41 years",60,48,36,60,54,51,57,45,39,48,42,54,51,45,48,36,42,39,33
" ","42 years",42,42,54,42,51,48,60,45,54,54,45,51,42,42,54,45,45,36,51
" ","43 years",60,54,66,51,57,57,66,48,57,57,54,42,57,54,36,48,51,45,51
" ","44 years",60,51,66,51,54,69,63,60,60,57,69,63,54,51,42,57,57,60,60
" ","45 years",60,57,54,69,75,63,63,72,87,72,69,66,60,63,57,51,57,63,57
" ","46 years",66,72,51,81,66,66,72,60,69,66,72,78,57,57,72,57,57,57,60
" ","47 years",78,84,54,69,81,69,72,72,81,54,81,72,66,72,63,78,60,75,66
" ","48 years",72,60,66,66,60,90,81,90,84,81,69,93,90,84,81,78,78,63,96
" ","49 years",72,81,78,93,75,84,78,90,78,84,87,75,93,78,84,84,69,87,93
" ","50 years",87,93,84,75,84,90,105,72,90,78,93,93,96,84,99,90,87,87,81
" ","51 years",90,90,111,84,90,90,105,84,102,99,117,90,102,96,81,114,96,102,102
" ","52 years",132,87,111,114,84,99,75,102,99,99,117,102,102,105,102,96,96,96,114
" ","53 years",117,105,108,114,117,108,96,111,105,117,93,108,99,105,129,126,111,123,123
" ","54 years",117,102,111,123,129,114,105,114,102,102,111,120,117,117,129,156,129,138,135
" ","55 years",132,102,126,138,126,120,138,129,138,129,117,135,138,111,120,126,147,129,141
" ","56 years",126,126,123,126,135,138,132,132,111,126,135,132,132,132,132,147,147,153,141
" ","57 years",141,114,117,138,135,141,150,141,144,129,132,144,132,123,144,135,126,141,156
" ","58 years",150,120,141,135,123,126,159,144,138,150,144,165,153,141,150,159,144,195,156
" ","59 years",186,174,162,165,162,159,165,153,189,165,138,135,177,159,153,162,153,186,198
" ","60 years",159,153,153,153,138,156,162,159,183,192,162,162,162,156,159,186,168,186,183
" ","61 years",198,180,165,177,183,156,183,150,195,210,222,159,177,195,156,186,195,186,198
" ","62 years",180,174,201,186,186,180,177,192,174,207,183,216,195,195,177,177,210,204,222
" ","63 years",198,183,204,189,207,180,174,207,177,183,195,210,234,198,216,192,216,213,234
" ","64 years",216,186,201,207,219,198,219,213,174,201,216,222,192,231,210,219,207,225,222
" ","65 years",225,189,228,228,189,216,240,225,228,225,231,207,219,240,246,240,243,267,258
" ","66 years",252,201,213,228,213,228,246,234,225,243,210,207,273,234,261,276,273,261,249
" ","67 years",273,267,240,255,252,216,225,222,255,225,261,225,231,231,270,327,273,285,306
" ","68 years",303,291,276,240,267,252,249,252,255,258,276,258,231,267,249,288,291,312,291
" ","69 years",327,321,297,279,270,261,231,246,255,282,282,303,291,261,288,294,300,330,345
" ","70 years",324,333,342,300,312,261,246,261,285,291,267,279,303,300,267,315,288,312,360
" ","71 years",390,357,375,348,324,321,264,297,291,297,303,294,321,348,312,297,321,285,312
" ","72 years",399,390,402,360,330,315,306,309,276,297,297,312,291,357,327,357,294,348,354
" ","73 years",417,384,384,372,381,357,333,354,330,321,309,309,333,312,384,384,393,339,360
" ","74 years",444,390,450,414,378,402,357,333,342,342,348,312,336,336,345,354,420,381,384
" ","75 years",438,435,426,378,429,375,369,369,333,369,363,345,306,375,327,399,405,405,414
" ","76 years",477,444,423,444,468,426,408,399,432,393,372,369,345,378,372,381,423,396,471
" ","77 years",462,477,429,474,462,411,423,453,402,396,405,396,414,387,357,417,414,426,462
" ","78 years",471,462,432,471,474,486,411,480,435,474,435,384,438,381,429,390,420,423,489
" ","79 years",495,495,474,426,471,474,468,486,498,498,444,423,426,408,420,429,387,450,465
" ","80 years",390,507,420,504,495,498,486,450,495,501,462,438,480,471,444,441,447,477,501
" ","81 years",390,372,453,447,459,480,465,504,510,501,489,480,486,501,429,495,438,492,510
" ","82 years",459,402,396,450,504,477,483,444,513,483,498,576,468,510,504,501,480,453,507
" ","83 years",399,384,417,375,486,480,444,450,474,516,528,498,528,513,555,519,519,468,519
" ","84 years",396,375,366,378,423,432,462,459,468,483,486,525,525,537,522,543,537,573,513
" ","85 years",378,342,399,387,351,402,414,450,447,474,480,501,492,525,540,534,507,588,570
